State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Illinois,"Cook County, IL",3017.02,77,75.2-77.5,1.7691
Illinois,"Cook County, IL",3018.01,77,75.2-77.5,1.7764
Illinois,"Cook County, IL",3018.02,76,75.2-77.5,1.5641
Illinois,"Cook County, IL",3018.03,77,75.2-77.5,1.6024
Illinois,"Cook County, IL",3102.00,80.7,79.6-81.6,1.8926
Illinois,"Cook County, IL",3103.00,79.1,77.6-79.5,3.2225
Illinois,"Cook County, IL",3104.00,,,
Illinois,"Cook County, IL",3105.00,76,75.2-77.5,2.5413
Illinois,"Cook County, IL",3106.00,76.8,75.2-77.5,2.4673
Illinois,"Cook County, IL",3107.00,78.2,77.6-79.5,1.6544
Illinois,"Cook County, IL",3108.00,77.1,75.2-77.5,1.4522
Illinois,"Cook County, IL",3109.00,77.1,75.2-77.5,1.4472
Illinois,"Cook County, IL",3201.00,82.9,81.7-97.5,1.6569
Illinois,"Cook County, IL",3204.00,,,
Illinois,"Cook County, IL",3206.00,81.7,81.7-97.5,3.7061
Illinois,"Cook County, IL",3301.00,80.3,79.6-81.6,1.2609
Illinois,"Cook County, IL",3302.00,80.3,79.6-81.6,1.8031
Illinois,"Cook County, IL",3403.00,84.5,81.7-97.5,2.863
Illinois,"Cook County, IL",3404.00,76.1,75.2-77.5,1.9726
Illinois,"Cook County, IL",3405.00,78.4,77.6-79.5,2.1437
Illinois,"Cook County, IL",3406.00,67.9,56.9-75.1,3.4363
Illinois,"Cook County, IL",3501.00,78.3,77.6-79.5,1.8424
Illinois,"Cook County, IL",3504.00,,,
Illinois,"Cook County, IL",3510.00,77.2,75.2-77.5,2.6994
Illinois,"Cook County, IL",3511.00,72,56.9-75.1,1.5701
Illinois,"Cook County, IL",3514.00,73.8,56.9-75.1,2.16
Illinois,"Cook County, IL",3515.00,,,
Illinois,"Cook County, IL",3602.00,,,
Illinois,"Cook County, IL",3801.00,69.8,56.9-75.1,2.8076
Illinois,"Cook County, IL",3802.00,72.3,56.9-75.1,2.9559
Illinois,"Cook County, IL",3805.00,,,
Illinois,"Cook County, IL",3807.00,67,56.9-75.1,3.7428
Illinois,"Cook County, IL",3812.00,72.8,56.9-75.1,1.8556
Illinois,"Cook County, IL",3814.00,,,
Illinois,"Cook County, IL",3815.00,,,
Illinois,"Cook County, IL",3817.00,,,
Illinois,"Cook County, IL",3818.00,70.2,56.9-75.1,2.8473
Illinois,"Cook County, IL",3819.00,72.8,56.9-75.1,2.7646
Illinois,"Cook County, IL",3901.00,79,77.6-79.5,2.2787
