Geographic Area Name,Median Income,Margin of Error,Median Income In Thousands
8133.01,53179,15801,53.179
8306,53177,9514,53.177
6303,53173,4402,53.173
5601,53125,23066,53.125
6308,53103,4717,53.103
107.01,53045,9556,53.045
2311,53021,9501,53.021
8258.03,52857,7642,52.857
8154,52768,17919,52.768
8260,52750,11000,52.75
8412,52745,6310,52.745
6004,52717,17564,52.717
2517,52692,12939,52.692
8402,52625,12594,52.625
4110,52586,17596,52.586
1911,52550,11250,52.55
3005,52534,14711,52.534
6504,52355,6920,52.355
8233.04,52352,6167,52.352
8247.02,52345,8908,52.345
8210.01,52273,9687,52.273
7111,52218,12496,52.218
8026.09,52218,9230,52.218
7608.03,52197,9671,52.197
2506,52188,16372,52.188
3812,52188,26051,52.188
8433,52143,22942,52.143
8175,52128,13467,52.128
3105,52090,11390,52.09
8352,52043,21749,52.043
208.02,51980,3739,51.98
3819,51929,7374,51.929
8171.01,51905,10477,51.905
5807,51826,9749,51.826
8224,51782,15892,51.782
8137.01,51716,9638,51.716
8255.03,51708,19261,51.708
8229,51678,22274,51.678
8302.01,51571,17807,51.571
8220,51487,6555,51.487
8300.07,51438,14942,51.438
5804,51434,9793,51.434
8396,51359,19730,51.359
2105.01,51291,9104,51.291
2512,51192,14731,51.192
8238.06,51172,10101,51.172
6007,51161,20691,51.161
1912,51125,15069,51.125
8236.03,51125,25282,51.125
3510,51074,8662,51.074
201,51068,2864,51.068
3404,50927,9876,50.927
1613,50896,5585,50.896
8172,50821,8504,50.821
7112,50810,12282,50.81
306.04,50732,6347,50.732
7505,50613,14881,50.613
8365,50591,6246,50.591
6913,50561,15294,50.561
8439,50496,21287,50.496
8149,50463,11856,50.463
7110,50446,7986,50.446
8144,50334,10917,50.334
8206.05,50212,9284,50.212
4503,50022,12774,50.022
2924,50000,16036,50
8272,50000,21182,50
8060.01,49979,8275,49.979
8050.02,49712,20141,49.712
4312,49701,6512,49.701
6719,49653,6086,49.653
6406,49632,9089,49.632
8213,49618,4946,49.618
8173,49514,11227,49.514
8167,49375,17426,49.375
8292,49358,10318,49.358
8256,49349,5398,49.349
1301,49327,13793,49.327
4802,49286,15675,49.286
8164.02,49177,8885,49.177
8065.01,49176,6356,49.176
8234,49076,7904,49.076
4805,49044,31201,49.044
4803,49000,14814,49
5305.03,48980,13093,48.98
8446,48955,38555,48.955
6608,48859,24665,48.859
7306,48802,13246,48.802
8340,48750,11558,48.75
8036.14,48678,9858,48.678
6202,48652,2368,48.652
303,48626,7390,48.626
4604,48542,26388,48.542
8303,48491,10168,48.491
605,48393,12905,48.393
8138.02,48393,11017,48.393
1901,48387,10405,48.387
301.02,48357,8808,48.357
8268,48293,8464,48.293
307.06,48256,19679,48.256
8212,48164,24723,48.164
8109,48130,8841,48.13
2504,48101,6883,48.101
8113.02,47960,9720,47.96
107.02,47779,4929,47.779
6910,47664,18287,47.664
8284.02,47656,12043,47.656
4906,47542,12255,47.542
7115,47541,4426,47.541
6503.02,47500,13560,47.5
8275,47407,16243,47.407
2104,47344,14217,47.344
8363,47297,13030,47.297
5702,47198,32891,47.198
8139,47115,15663,47.115
2508,47105,26148,47.105
8107.01,47031,10789,47.031
8264.01,47004,12495,47.004
8233.02,46955,12030,46.955
6408,46944,12819,46.944
2303,46875,6210,46.875
8285.04,46851,12095,46.851
8313,46850,11258,46.85
8404,46813,23828,46.813
3017.01,46763,9265,46.763
8047.15,46543,8521,46.543
2925,46488,12430,46.488
8257,46382,17850,46.382
8263.04,46364,18941,46.364
8277,46303,4257,46.303
3107,46250,23877,46.25
8214.01,46225,8218,46.225
402.02,46078,4662,46.078
301.01,46047,5778,46.047
1907.02,46000,8785,46
2507,45970,13753,45.97
4911,45875,16065,45.875
8312,45724,11586,45.724
8176,45660,9204,45.66
4308,45658,16366,45.658
5305.01,45651,10175,45.651
4907,45647,8939,45.647
8061.04,45603,10632,45.603
8258.01,45458,6894,45.458
8230.02,45441,18410,45.441
2515,45385,19701,45.385
8295,45321,6484,45.321
8248,45244,12865,45.244
6814,45128,7914,45.128
8094.02,45125,28531,45.125
5303,45114,10097,45.114
8191,45114,13035,45.114
5302,45074,11801,45.074
5703,45038,11618,45.038
8180,44973,21847,44.973
209.01,44653,13356,44.653
8261,44602,11476,44.602
5003,44538,6061,44.538
8143,44441,3267,44.441
103,44375,16139,44.375
307.01,44375,7464,44.375
8206.04,44338,7166,44.338
4108,44243,12757,44.243
4102,44224,9118,44.224
