Census Tract,Median Income,Margin of Error,Median Income in Thousands
3.07,49167,23815,49.167
37.09,49040,4538,49.04
178,48864,14798,48.864
77.04,48750,23365,48.75
39.16,48564,9156,48.564
57.01,48528,12970,48.528
84.3,48173,10693,48.173
4.13,48145,7848,48.145
59.01,48135,10216,48.135
114.06,48115,6523,48.115
11.03,48108,13823,48.108
102.14,47955,14871,47.955
6.03,47873,22743,47.873
2.06,47738,3641,47.738
90.64,47616,16353,47.616
131,47414,8371,47.414
93.23,47366,18952,47.366
2.27,47222,20759,47.222
174.02,47109,32085,47.109
69.01,46857,14716,46.857
42.04,46630,8399,46.63
70.06,46623,9532,46.623
4.09,46536,9895,46.536
59.03,46480,10429,46.48
64.02,46458,22380,46.458
70.07,46333,8520,46.333
58.04,46287,7774,46.287
90.61,46207,10745,46.207
90.31,45901,9529,45.901
90.15,45833,5406,45.833
146.02,45833,17995,45.833
100.19,45711,9810,45.711
44.03,45680,7661,45.68
89.07,45657,18653,45.657
3.09,45642,13096,45.642
4.19,45368,29012,45.368
6.01,45337,8730,45.337
100.18,45239,4742,45.239
84.25,45156,13752,45.156
16.03,45020,21809,45.02
97.06,44871,6832,44.871
3.11,44773,30636,44.773
103.02,44676,8722,44.676
100.21,44453,3100,44.453
202,44399,11147,44.399
110.12,44342,18736,44.342
132.01,44219,15703,44.219
5.07,44083,11822,44.083
173,43919,19538,43.919
58.05,43777,36156,43.777
72,43750,23047,43.75
99.08,43725,4629,43.725
83.12,43703,11611,43.703
7.17,43571,17994,43.571
91.01,43025,12108,43.025
70.05,42864,12681,42.864
2.2,42778,16341,42.778
1.25,42698,14393,42.698
77.08,42432,31186,42.432
120.01,42287,9546,42.287
9.04,42250,16709,42.25
134,42216,8404,42.216
4.08,42143,10933,42.143
2.13,42049,6101,42.049
22.02,41971,10540,41.971
114.07,41964,8614,41.964
2.28,41912,20911,41.912
155.01,41895,16931,41.895
55.03,41786,23197,41.786
4.2,41750,14270,41.75
93.16,41594,30095,41.594
36.04,41492,8333,41.492
7.2,41484,17240,41.484
39.14,41417,24650,41.417
5.06,41307,2599,41.307
93.17,41304,12166,41.304
84.24,41250,15241,41.25
43.03,41200,15183,41.2
112.05,41094,6043,41.094
3.12,41076,6350,41.076
39.09,40972,19308,40.972
49.01,40774,22649,40.774
