State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,"Los Angeles County, CA",1256.00,82,81.7-97.5,2.9306
California,"Los Angeles County, CA",1271.02,82.7,81.7-97.5,2.9767
California,"Los Angeles County, CA",1271.03,77.4,75.2-77.5,2.7565
California,"Los Angeles County, CA",1271.04,78.7,77.6-79.5,1.8956
California,"Los Angeles County, CA",1272.10,78.6,77.6-79.5,1.3754
California,"Los Angeles County, CA",1272.20,83.3,81.7-97.5,2.3653
California,"Los Angeles County, CA",1273.00,80.5,79.6-81.6,2.0067
California,"Los Angeles County, CA",1274.00,78.8,77.6-79.5,2.1495
California,"Los Angeles County, CA",1275.20,77.4,75.2-77.5,2.8472
California,"Los Angeles County, CA",1276.03,76.8,75.2-77.5,2.1451
California,"Los Angeles County, CA",1276.04,83.3,81.7-97.5,3.8548
California,"Los Angeles County, CA",1276.05,78.6,77.6-79.5,3.5777
California,"Los Angeles County, CA",1276.06,78.5,77.6-79.5,1.6418
California,"Los Angeles County, CA",1277.11,78.1,77.6-79.5,1.5373
California,"Los Angeles County, CA",1277.12,77.8,77.6-79.5,2.4567
California,"Los Angeles County, CA",1278.03,81.1,79.6-81.6,1.7064
California,"Los Angeles County, CA",1278.04,80.5,79.6-81.6,2.6381
California,"Los Angeles County, CA",1278.05,72.2,56.9-75.1,1.5552
California,"Los Angeles County, CA",1278.06,,,
California,"Los Angeles County, CA",1279.10,77.6,77.6-79.5,1.7058
California,"Los Angeles County, CA",1279.20,79.3,77.6-79.5,1.3017
California,"Los Angeles County, CA",1281.01,,,
California,"Los Angeles County, CA",1281.02,80,79.6-81.6,3.3131
California,"Los Angeles County, CA",1282.10,75.9,75.2-77.5,3.03
California,"Los Angeles County, CA",1282.20,76.8,75.2-77.5,1.2194
California,"Los Angeles County, CA",1283.02,78.4,77.6-79.5,2.4478
California,"Los Angeles County, CA",1283.03,77.1,75.2-77.5,2.9692
California,"Los Angeles County, CA",1284.00,81.7,81.7-97.5,2.1291
California,"Los Angeles County, CA",1285.00,78.9,77.6-79.5,1.3444
California,"Los Angeles County, CA",1286.01,81.4,79.6-81.6,3.2706
California,"Los Angeles County, CA",1286.02,83.4,81.7-97.5,2.0777
California,"Los Angeles County, CA",1287.02,80.6,79.6-81.6,1.2843
California,"Los Angeles County, CA",1288.01,83.9,81.7-97.5,3.1735
California,"Los Angeles County, CA",1288.02,82.2,81.7-97.5,1.8953
